game_index,decision_index,elapsed_ms,eligible,search_begin_ok,visits
7,70,702.2074,1,1,132
7,71,702.2926,1,1,191
7,72,705.0102,1,1,198
7,73,703.8010,1,1,193
7,74,1.3969,0,0,0
7,75,1.4020,0,0,0
7,76,1.5074,0,0,0
7,77,1.1845,0,0,0
7,78,1.0829,0,0,0
7,79,1.4157,0,0,0
7,80,1.2621,0,0,0
7,81,1.1039,0,0,0
8,0,0.2124,0,0,0
8,1,1.1600,0,0,0
8,2,0.6127,0,0,0
8,3,707.4307,1,1,91
8,4,704.3270,1,1,98
8,5,705.5174,1,1,59
8,6,708.7554,1,1,62
8,7,710.4569,1,1,72
8,8,707.4169,1,1,69
8,9,703.7196,1,1,70
8,10,703.3948,1,1,71
8,11,1.2351,0,0,0
8,12,1.2857,0,0,0
8,13,1.0292,0,0,0
8,14,705.6675,1,1,72
8,15,1.5789,0,0,0
8,16,702.3529,1,1,62
8,17,704.6713,1,1,59
8,18,708.9461,1,1,56
8,19,703.6030,1,1,55
8,20,709.7486,1,1,54
8,21,707.8514,1,1,55
8,22,711.6306,1,1,43
8,23,712.3270,1,1,54
8,24,1.1281,0,0,0
8,25,703.9324,1,1,54
8,26,712.7421,1,1,55
8,27,1.5033,0,0,0
8,28,702.8074,1,1,57
8,29,704.4731,1,1,57
8,30,1.3549,0,0,0
8,31,704.1943,1,1,57
8,32,1.3525,0,0,0
8,33,703.4100,1,1,53
8,34,1.2378,0,0,0
8,35,712.5978,1,1,58
8,36,711.6189,1,1,54
8,37,1.6699,0,0,0
8,38,710.0156,1,1,58
8,39,710.4072,1,1,59
8,40,709.8245,1,1,59
8,41,1.6305,0,0,0
8,42,703.4258,1,1,58
8,43,1.4703,0,0,0
8,44,1.4176,0,0,0
8,45,1.3103,0,0,0
8,46,705.5492,1,1,64
8,47,703.2469,1,1,65
8,48,1.7268,0,0,0
8,49,702.2353,1,1,378
8,50,701.8894,1,1,234
8,51,1.5274,0,0,0
8,52,1.3624,0,0,0
8,53,704.4947,1,1,265
8,54,1.5215,0,0,0
8,55,701.6285,1,1,291
8,56,705.7738,1,1,210
8,57,1.4822,0,0,0
8,58,702.3706,1,1,209
8,59,703.8854,1,1,205
9,0,0.2700,0,0,0
9,1,0.8702,0,0,0
9,2,0.7776,0,0,0
9,3,708.0350,1,1,86
9,4,706.0087,1,1,84
9,5,703.3607,1,1,84
9,6,701.0656,1,1,85
9,7,701.6304,1,1,74
9,8,703.1023,1,1,57
9,9,1.3720,0,0,0
9,10,1.1742,0,0,0
9,11,1.1048,0,0,0
9,12,701.7165,1,1,58
9,13,706.7507,1,1,59
9,14,702.5891,1,1,58
9,15,1.4849,0,0,0
9,16,702.0359,1,1,53
9,17,1.2912,0,0,0
9,18,703.9298,1,1,56
9,19,0.9783,0,0,0
9,20,1.3476,0,0,0
9,21,703.1611,1,1,56
9,22,711.6509,1,1,56
9,23,707.4470,1,1,57
